Name,Listing Date,Issue Price,Listing Price,LTP,Returns from issue price
L.K.Mehta Polymers Ltd,21-Feb-25,71,71.1,68.1,-4.08
Shanmuga Hospital Ltd,21-Feb-25,54,54,51.3,-5
Hexaware Technologies Ltd,19-Feb-25,708,731,817.4,15.45
P S Raj Steels Ltd,19-Feb-25,140,145,149,6.43
Maxvolt Energy Industries Ltd,19-Feb-25,180,180,175,-2.78
Voler Car Ltd,19-Feb-25,90,90,89.45,-0.61
Ajax Engineering Ltd,17-Feb-25,629,593,603.1,-4.12
Chandan Healthcare Ltd,17-Feb-25,159,165.1,168.5,5.97
Eleganz Interiors Ltd,14-Feb-25,130,122,118.1,-9.15
Solarium Green Energy Ltd,13-Feb-25,191,202,232.1,21.52
Readymix Construction Machinery Ltd,13-Feb-25,123,123,85.95,-30.12
Amwill Health Care Ltd,12-Feb-25,111,88.85,92.35,-16.8
Ken Enterprises Ltd,12-Feb-25,94,85,62.4,-33.62
Chamunda Electrical Ltd,11-Feb-25,50,70,50.95,1.9
Dr Agarwal`s Health Care Ltd,04-Feb-25,402,396.9,412.6,2.64
Malpani Pipes & Fittings Ltd,04-Feb-25,90,85.9,69.31,-22.99
GB Logistics Commerce Ltd,31-Jan-25,102,81.6,47.5,-53.43
H.M. Electro Mech Ltd,31-Jan-25,75,81,69.9,-6.8
CLN Energy Ltd,30-Jan-25,250,256,284.95,13.98
Denta Water & Infra Solutions Ltd,29-Jan-25,294,330,356.85,21.38
Rexpro Enterprises Ltd,29-Jan-25,145,117,90.5,-37.59
CapitalNumbers Infotech Ltd,27-Jan-25,263,274,156.5,-40.49
EMA Partners India Ltd,24-Jan-25,124,156.5,124.45,0.36
Stallion India Fluorochemicals Ltd,23-Jan-25,90,120,73.16,-18.71
Landmark Immigration Consultants Ltd,23-Jan-25,72,75,54.51,-24.29
Rikhav Securities Ltd,22-Jan-25,86,163.4,85,-1.16
Laxmi Dental Ltd,20-Jan-25,428,528,360.45,-15.78
Barflex Polyfilms Ltd,20-Jan-25,60,60,48.3,-19.5
Capital Infra Trust,17-Jan-25,99,99,99.42,0.42
Sat Kartar Shopping Ltd,17-Jan-25,81,153.9,173.5,114.2
Avax Apparels and Ornaments Ltd,14-Jan-25,70,133,94.55,35.07
Delta Autocorp Ltd,14-Jan-25,130,175,86.25,-33.65
B.R.Goyal Infrastructure Ltd,14-Jan-25,135,135.75,105.2,-22.07
Quadrant Future Tek Ltd,14-Jan-25,290,374,469.65,61.95
Standard Glass Lining Technology Ltd,13-Jan-25,140,176,135.08,-3.51
Indobell Insulations Ltd,13-Jan-25,46,87.4,143.65,212.28
Fabtech Technologies Cleanrooms Ltd,10-Jan-25,85,161.5,304.65,258.41
Parmeshwar Metal Ltd,09-Jan-25,61,84.5,54.2,-11.15
Davin Sons Retail Ltd,09-Jan-25,55,44,25.18,-54.22
Leo Dryfruits & Spices Trading Ltd,08-Jan-25,52,68,53.05,2.02
Technichem Organics Ltd,07-Jan-25,55,57.25,52.5,-4.55
Indo Farm Equipment Ltd,07-Jan-25,215,258.4,194.18,-9.68
Citichem India Ltd,03-Jan-25,70,70,35,-50
Anya Polytech & Fertilizers Ltd,02-Jan-25,14,17.1,23.3,66.43
Unimech Aerospace and Manufacturing Ltd,31-Dec-24,785,1491,1016.7,29.52
Carraro India Ltd,30-Dec-24,704,660,351.7,-50.04
Ventive Hospitality Ltd,30-Dec-24,643,718.15,628,-2.33
Senores Pharmaceuticals Ltd,30-Dec-24,391,593.7,562.35,43.82
Sanathan Textiles Ltd,27-Dec-24,321,419.1,321.45,0.14
Newmalayalam Steel Ltd,27-Dec-24,90,90,35.4,-60.67
Transrail Lighting Ltd,27-Dec-24,432,585.15,523,21.06
Mamata Machinery Ltd,27-Dec-24,243,600,388,59.67
Dam Capital Advisors Ltd,27-Dec-24,283,392.9,244.1,-13.75
Concord Enviro Systems Ltd,27-Dec-24,701,832,457.05,-34.8
Identical Brains Studios Ltd,26-Dec-24,54,95,45.6,-15.56
Nacdac Infrastructure Ltd,24-Dec-24,35,66.5,47.42,35.49
Hamps Bio Limited,20-Dec-24,51,96.9,53.35,4.61
International Gemmological Institute (India) Ltd,20-Dec-24,417,504.85,418.5,0.36
Yash Highvoltage Ltd,19-Dec-24,146,277.4,188.95,29.42
Inventurus Knowledge Solutions Ltd,19-Dec-24,1329,1856,1843.5,38.71
One Mobikwik Systems Ltd,18-Dec-24,279,442.25,311.35,11.59
Purple United Sales Ltd,18-Dec-24,126,199,133.35,5.83
Vishal Mega Mart Ltd,18-Dec-24,78,110,102.65,31.6
Sai Life Sciences Ltd,18-Dec-24,549,660,705.75,28.55
Toss The Coin Ltd,17-Dec-24,182,345.8,385.65,111.9
Jungle Camps India Ltd,17-Dec-24,72,136.8,61.11,-15.13
Dhanlaxmi Crop Science Ltd,16-Dec-24,55,104.5,59.15,7.55
Emerald Tyre Manufacturers Ltd,12-Dec-24,95,180.5,130.7,37.58
Nisus Finance Services Co Ltd,11-Dec-24,180,225,412.05,128.92
Property Share Investment Trust- Propshare Platina,10-Dec-24,1050000,1050000,1024000,-2.48
Suraksha Diagnostic Ltd,06-Dec-24,441,437,300.7,-31.81
Ganesh Infraworld Ltd,06-Dec-24,83,157.7,142.35,71.51
Agarwal Toughened Glass India Ltd,05-Dec-24,108,135,97,-10.19
Apex Ecotech Ltd,04-Dec-24,73,138.7,115.15,57.74
Abha Power and Steel Ltd,04-Dec-24,75,81.9,35.95,-52.07
Rajputana Biodiesel Ltd,03-Dec-24,130,247,276.35,112.58
